"source","gene","sample","ngl_link"
"Deng et al. 2019","5-HT1A-T2-M","BRAIN-U","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4809960817950720"
"Deng et al. 2019","5-HT1B-T1","BRAIN-M","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6326770730008576"
"Deng et al. 2019","5-HT2B-T4","BRAIN-M","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5749044746911744"
"Deng et al. 2019","5-HT7-Gal4-T10","BRAIN-U","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4919395846455296"
"Deng et al. 2019","AstA","BRAIN-U","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6143744993656832"
"Deng et al. 2019","AstA- T2 5137 female2","BRAIN-U","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6037133973258240"
"Deng et al. 2019","AstA-T2","BRAIN-M","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5301708467994624"
"Deng et al. 2019","AstA-T2 5137 female2","BRAIN-U","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6045295753297920"
"Deng et al. 2019","AstC-T9","BRAIN-M","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5844164129325056"
"Deng et al. 2019","AstC-T9","VNC-M","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5614069225619456"
"Deng et al. 2019","CCAP-R","BRAIN-M","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5186094793490432"
"Deng et al. 2019","CCAP-R5","BRAIN-M","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6311994700333056"
"Deng et al. 2019","CCHa1-M","BRAIN-U","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5889908685144064"
"Deng et al. 2019","CCHa1-M","VNC-U","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4622631943798784"
"Deng et al. 2019","CCHa1-R-T6","BRAIN-F","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5771145641984000"
"Deng et al. 2019","CCHa1-R-T6","BRAIN-M","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5518192536453120"
"Deng et al. 2019","CCHa1-R-T6","VNC-F","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4686552063016960"
"Deng et al. 2019","CCHa2","BRAIN-M","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5414439816790016"
"Deng et al. 2019","CCHa2-R-S","VNC-U","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6717853003677696"
"Deng et al. 2019","CG13229-T3-M","BRAIN-U","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5174982370918400"
"Deng et al. 2019","CG13229-T3-M","VNC-U","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5748531850641408"
"Deng et al. 2019","CG13579-T4-M","BRAIN-U","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6540339723632640"
"Deng et al. 2019","CG31760-L-T26","BRAIN-U","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6080988626026496"
"Deng et al. 2019","CG31760-L-T26","VNC-M","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4783913384804352"
"Deng et al. 2019","CG43795-T3","BRAIN-M","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5474184019836928"
"Deng et al. 2019","CG43795-T3","VNC-M","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6711695228534784"
